x y
0 1
0.1 0.925798
0.2 0.889509
0.3 0.876196
0.4 0.876289
0.5 0.883732
0.6 0.894765
0.7 0.90711
0.8 0.919435
0.9 0.931014
1 0.941492
1.1 0.950738
1.2 0.958757
1.3 0.965622
1.4 0.971444
1.5 0.976346
1.6 0.98045
1.7 0.98387
1.8 0.986711
1.9 0.989065
2 0.99101
2.1 0.992615
2.2 0.993937
2.3 0.995025
2.4 0.995919
2.5 0.996654
2.6 0.997257
2.7 0.997752
2.8 0.998158
2.9 0.998491
3 0.998764
3.1 0.998987
3.2 0.999171
3.3 0.999321
3.4 0.999444
3.5 0.999544
3.6 0.999627
3.7 0.999695
3.8 0.99975
3.9 0.999795
4 0.999832
4.1 0.999863
4.2 0.999888
4.3 0.999908
4.4 0.999925
4.5 0.999938
4.6 0.999949
4.7 0.999959
4.8 0.999966
4.9 0.999972
5 0.999977
5.1 0.999981
5.2 0.999985
5.3 0.999988
5.4 0.99999
5.5 0.999992
5.6 0.999993
5.7 0.999994
5.8 0.999995
5.9 0.999996
6 0.999997
6.1 0.999997
6.2 0.999998
6.3 0.999998
6.4 0.999999
6.5 0.999999
6.6 0.999999
6.7 0.999999
6.8 0.999999
6.9 0.999999
7 1
7.1 1
7.2 1
7.3 1
7.4 1
7.5 1
7.6 1
7.7 1
7.8 1
7.9 1
8 1
8.1 1
8.2 1
8.3 1
8.4 1
8.5 1
8.6 1
8.7 1
8.8 1
8.9 1
9 1
9.1 1
9.2 1
9.3 1
9.4 1
9.5 1
9.6 1
9.7 1
9.8 1
9.9 1
10 1
